CATEGORY,TYPE,DETAIL,REQUEST TYPE,Count
Public Safety,Regulated Industries,Question / Feedback,Public Safety-Regulated Industries-Question / Feedback,3
Public Safety,Regulated Industries,Tobacco Business,Public Safety-Regulated Industries-Tobacco Business,5
Public Safety,Regulated Industries,Vehicle For Hire,Public Safety-Regulated Industries-Vehicle for hire,1
Sidewalks / Curbs / Ditch,Damage / Dis-Repair,ADA,Sidewalks / Curbs / Ditch-Damage / Dis-Repair-ADA,102
Sidewalks / Curbs / Ditch,Damage / Dis-Repair,City Property,Sidewalks / Curbs / Ditch-Damage / Dis-Repair-City,107
Sidewalks / Curbs / Ditch,Damage / Dis-Repair,Park / Blvd / Pkwy,Sidewalks / Curbs / Ditch-Damage / Dis-Repair- Park / Blvd / Pkwy,49
Sidewalks / Curbs / Ditch,Damage / Dis-Repair,Private Property (ROW),Sidewalks / Curbs / Ditch-Damage / Dis-Repair-Private Property,2272
Sidewalks / Curbs / Ditch,Damage / Dis-Repair,Replace - City Project,Sidewalks / Curbs / Ditch-Damage / Dis-Repair-Replace - City Project,210
Sidewalks / Curbs / Ditch,Ditch,North,Sidewalks / Curbs / Ditch-Ditch-North,182
Sidewalks / Curbs / Ditch,Ditch,South,Sidewalks / Curbs / Ditch-Ditch-South,240
Sidewalks / Curbs / Ditch,New Request,Blvd / Pkwy / Park,Sidewalks / Curbs / Ditch-New Request-Blvd / Pkwy / Park,5
Sidewalks / Curbs / Ditch,New Request,City Street,Sidewalks / Curbs / Ditch-New Request-City Street,175
Sidewalks / Curbs / Ditch,Obstructed / Closure,ADA,Sidewalks / Curbs / Ditch-Obstructed / Closure-ADA,20
Sidewalks / Curbs / Ditch,Obstructed / Closure,Blocked,Sidewalks / Curbs / Ditch-Obstructed / Closure-Blocked,196
Sidewalks / Curbs / Ditch,Obstructed / Closure,Ramp,Sidewalks / Curbs / Ditch-Obstructed / Closure-Ramp,3
Sidewalks / Curbs / Ditch,Park Property,Central,Sidewalk/Curb/Ditch-Park Property-Central,4
Sidewalks / Curbs / Ditch,Park Property,North,Sidewalk/Curb/Ditch-Park Property-North,3
Sidewalks / Curbs / Ditch,Snow / Ice,Bridge,Sidewalks / Curbs / Ditch-Snow / Ice-Bridge,3
Sidewalks / Curbs / Ditch,Snow / Ice,City Owned,Sidewalks / Curbs / Ditch-Snow / Ice-City Owned,4
Sidewalks / Curbs / Ditch,Snow / Ice,Commercial,Property Violations,24
Sidewalks / Curbs / Ditch,Snow / Ice,Park - Central,Sidewalks / Curbs / Ditch-Snow / Ice-Park - Central,1
Sidewalks / Curbs / Ditch,Snow / Ice,Park - North,Sidewalks / Curbs / Ditch-Snow / Ice-Park - North,1
Sidewalks / Curbs / Ditch,Snow / Ice,Private Property,Property Violations,197
Sidewalks / Curbs / Ditch,Unapproved Objects,Basketball Hoop / Goal,Sidewalks / Curbs / Ditch-Unapproved Objects-Basketball Hoop/Goal,89
Sidewalks / Curbs / Ditch,Unapproved Objects,Landscaping,Sidewalks / Curbs / Ditch-Unapproved Objects-Landscaping,4
Sidewalks / Curbs / Ditch,Unapproved Objects,Merchandise,Sidewalks / Curbs / Ditch-Unapproved Objects-Merchandise,14
Sidewalks / Curbs / Ditch,Unapproved Objects,Other,Sidewalks / Curbs / Ditch-Unapproved Objects-Other,105
Signs,Banners,Removal,Signs/Banners/Removal,8
Signs,Commercial Signs / Ads,Billboard,Signs-Commercial Signs / Ads-Banner / Billboard,86
Signs,Commercial Signs / Ads,In Right-Of-Way,Signs-Commercial Signs / Ads-In Right-Of-Way,431
Signs,No Dumping Sign,District 1,Signs-No Dumping Sign-District 1,23
Signs,No Dumping Sign,District 2,Signs-No Dumping Sign-District 2,66
Signs,No Dumping Sign,District 3,Signs-No Dumping Sign-District 3,41
Signs,Street Name Signs,Down / Damaged,Signs-Street Name Signs-Down / Damaged,451
Signs,Street Name Signs,Graffiti,Signs-Street Name Signs-Graffiti,3
Signs,Street Name Signs,Honorary/Renaming,Signs-Street Name Signs-Honorary/Renaming,6
Signs,Street Name Signs,Missing,Signs-Street Name Signs-Missing,382
Signs,Street Name Signs,New Sign Request,Signs-Street Name Signs-New Sign Request,120
Signs,Street Name Signs,Remove Sign,Signs-Street Name Signs-Remove Sign,30
Signs,Traffic Sign,Bike Route,Signs-Traffic Sign-Bike Route,2
Signs,Traffic Sign,Damaged - Emergency,Signs-Traffic Sign-Damaged – Emergency,868
Signs,Traffic Sign,Damaged - Non-Emergency,Signs-Traffic Sign-Damaged – Non-Emergency,728
Signs,Traffic Sign,Graffiti,Signs-Traffic Sign-Graffiti,63
Signs,Traffic Sign,Missing - Emergency,Signs-Traffic Sign-Missing – Emergency,340
Signs,Traffic Sign,Missing - Non-Emergency,Signs-Traffic Sign-Missing – Non-Emergency,400
Signs,Traffic Sign,New Sign Installation,Signs-Traffic Sign-New Sign Installation,40
Signs,Traffic Sign,New Sign Request,Signs-Traffic Sign-New Sign Request,1447
Signs,Traffic Sign,Remove Sign,Signs-Traffic Sign-Remove Sign,207
Storm Water / Sewer,Construction Repair,Referral,Storm Water / Sewer - Construction Repair - Referral,2
Storm Water / Sewer,Culvert,North,Storm Water / Sewer-Culvert-North,118
Storm Water / Sewer,Culvert,North,Stormwater-Culvert-North,90
Storm Water / Sewer,Culvert,South,Storm Water / Sewer-Culvert-South,122
Storm Water / Sewer,Culvert,South,Stormwater-Culvert-South,101
Storm Water / Sewer,Flood Barricade,Parks Barricade,Storm Water / Sewer - Flood - Parks Barricade,11
Storm Water / Sewer,Flood Barricade,Parks Barricade,Stormwater - Flood - Parks Barricade,11
Storm Water / Sewer,Flood Barricade,Public Works Barricade,Storm Water / Sewer - Flood - Public Works Barricade,15
Storm Water / Sewer,Flood Barricade,Public Works Barricade,Stormwater - Flood - Public Works Barricade,3
Storm Water / Sewer,Flood Barricade,Water Service Barricade,Storm Water / Sewer - Flood - Water Services Barricade,11
Storm Water / Sewer,Flood Barricade,Water Service Barricade,Stormwater - Flood - Water Services Barricade,7
Storm Water / Sewer,Improved Channel,Clogged / Debris,Storm Water / Sewer-Improved Channel-Clogged / Debris,38
Storm Water / Sewer,Improved Channel,Clogged / Debris,Stormwater-Improved Channel-Clogged / Debris,22
Storm Water / Sewer,Improved Channel,Damaged,Storm Water / Sewer-Improved Channel-Damaged,7
Storm Water / Sewer,Improved Channel,Damaged,Stormwater-Improved Channel-Damaged,8
Storm Water / Sewer,Manhole,Missing / Broken,Sewer-Manhole-Missing / Broken,334
Storm Water / Sewer,Manhole,Missing / Broken,Storm Water / Sewer-Manhole-Missing / Broken,203
Storm Water / Sewer,Services,Call Back Request,Storm Water / Sewer-Services-Call Back Request,34
Storm Water / Sewer,Services,Call Back Request,Stormwater / Sewer-Services-Call Back Request,72
Storm Water / Sewer,Services,Feedback,Storm Water / Sewer-Services-Feedback,6
Storm Water / Sewer,Services,Feedback,Stormwater / Sewer-Services-Feedback,29
Storm Water / Sewer,Services,Question,Storm Water / Sewer-Services-Question,120
Storm Water / Sewer,Services,Service Issue / Problem,Storm Water / Sewer-Services-Service Issue / Problem,53
Storm Water / Sewer,Services,Service Issue / Problem,Stormwater / Sewer-Services-Service Issue / Problem,85
Storm Water / Sewer,Services,Sewer Restoration,Sewer - Services - Sewer Restoration,12
Storm Water / Sewer,Services,Sewer Restoration,Storm Water / Sewer - Services - Sewer Restoration,13
Storm Water / Sewer,Sewer Backup / Leak,From Manhole,Sewer-Sewer Backup / Leak-From Manhole,74
Storm Water / Sewer,Sewer Backup / Leak,From Manhole,Storm Water / Sewer-Sewer Backup / Leak-From Manhole,59
Storm Water / Sewer,Sewer Backup / Leak,In A House,Sewer-Sewer Backup / Leak-In a house,1812
Storm Water / Sewer,Sewer Backup / Leak,In A House,Storm Water / Sewer-Sewer Backup / Leak-In a house,1124
Storm Water / Sewer,Sewer Backup / Leak,Outside,Sewer-Sewer Backup / Leak-Outside,289
Storm Water / Sewer,Sewer Backup / Leak,Outside,Storm Water / Sewer-Sewer Backup / Leak-Outside,186
Storm Water / Sewer,Sewer Backup / Leak,Owner‘s Responsibility,Property Violations,2
Storm Water / Sewer,Sewer Backup / Leak,Owner‘s Responsibility,Sewer - Sewer Backup - Owner Responsibility,12
Storm Water / Sewer,Sewer Backup / Leak,Treatment Plant,Sewer-Sewer Backup / Leak-Treatment Plant,1
Storm Water / Sewer,Sewer Odor,Indoor,Sewer-Sewer Odor-Indoor,405
Storm Water / Sewer,Sewer Odor,Indoor,Storm Water / Sewer-Sewer Odor-Indoor,113
Storm Water / Sewer,Sewer Odor,Outdoor,Sewer-Sewer Odor-Outdoor,549
Storm Water / Sewer,Sewer Odor,Outdoor,Storm Water / Sewer-Sewer Odor-Outdoor,131
Storm Water / Sewer,Sewer Referral,Basement,Storm Water / Sewer-Sewer Referral-Basement,1
Storm Water / Sewer,Sewer Referral,Investigation,Sewer-Sewer Referral-Investigation,206
Storm Water / Sewer,Sewer Referral,Investigation,Storm Water / Sewer-Sewer Referral-Investigation,80
Storm Water / Sewer,Sewer Referral,Private Line Repair,Sewer-Sewer Referral-Private Line,157
Storm Water / Sewer,Sewer Referral,Private Line Repair,Storm Water / Sewer-Sewer Referral-Private Line,65
Storm Water / Sewer,Sewer Referral,Repair,Sewer-Sewer Referral-Repair,161
Storm Water / Sewer,Sewer Referral,Repair,Storm Water / Sewer-Sewer Referral-Repair,52
Storm Water / Sewer,Sewer Referral,Restoration,Sewer-Sewer Referral-Restoration,219
Storm Water / Sewer,Sewer Referral,Restoration,Storm Water / Sewer-Sewer Referral-Restoration,108
Storm Water / Sewer,Sewer Referral,Restoration Issue,Sewer-Sewer Referral-Restoration Issue,3
Storm Water / Sewer,Sewer Referral,Restoration Issue,Storm Water / Sewer-Sewer Referral-Restoration Issue,5
Storm Water / Sewer,Sinkhole,Sidewalk,Sewer-Sinkhole-Sidewalk,42
Storm Water / Sewer,Sinkhole,Sidewalk,Storm Water / Sewer-Sinkhole-Sidewalk,11
Storm Water / Sewer,Sinkhole,Street,Sewer-Sinkhole-Street,198
Storm Water / Sewer,Sinkhole,Street,Storm Water / Sewer-Sinkhole-Street,143
Storm Water / Sewer,Sinkhole,Yard,Sewer-Sinkhole-Yard,107
Storm Water / Sewer,Sinkhole,Yard,Storm Water / Sewer-Sinkhole-Yard,57
Storm Water / Sewer,Storm Drain / Catch Basin,Clogged / Over-Flow,Storm Water / Sewer-Storm Drain / Catch Basin-Clogged / Over-Flow,1255
Storm Water / Sewer,Storm Drain / Catch Basin,Clogged / Over-Flow,Storm Water-Storm Drain / Catch Basin-Clogged / Over-Flow,2
Storm Water / Sewer,Storm Drain / Catch Basin,Clogged / Over-Flow,Stormwater-Storm Drain / Catch Basin-Clogged / Over-Flow,1399
Storm Water / Sewer,Storm Drain / Catch Basin,Damaged / Broken,Storm Water / Sewer-Storm Drain / Catch Basin-Damaged / Broken,125
Storm Water / Sewer,Storm Drain / Catch Basin,Damaged / Broken,Stormwater-Storm Drain / Catch Basin-Damaged / Broken,139
Storm Water / Sewer,Storm Drain / Catch Basin,Dropped Personal Item,Storm Water / Sewer-Storm Drain / Catch Basin-Dropped Personal Item,51
Storm Water / Sewer,Storm Drain / Catch Basin,Dropped Personal Item,Stormwater-Storm Drain / Catch Basin-Dropped Personal Item,77
Storm Water / Sewer,Storm Water Referral,Creek/Green Solution,Storm Water / Sewer-Storm Referral-Creek/Green Solution,27
Storm Water / Sewer,Storm Water Referral,Investigation,Storm / Sewer-Stormwater Referral-Investigation,34
Storm Water / Sewer,Storm Water Referral,Investigation,Stormwater-Stormwater Referral-Investigation,83
Storm Water / Sewer,Storm Water Referral,Repair,Storm / Sewer-Storm Water Referral-Repair,110
Storm Water / Sewer,Storm Water Referral,Repair,Stormwater-Stormwater Referral-Repair,338
Storm Water / Sewer,Storm Water Referral,Restoration Issue,Storm Water / Sewer-Stormwater Referral-Restoration,7
Storm Water / Sewer,Storm Water Referral,Restoration Issue,Stormwater-Stormwater Referral-Restoration,21
Streets / Roadways / Alleys,Broken Asphalt,Bridge,Streets / Roadways / Alleys-Broken Asphalt-Bridge,20
Streets / Roadways / Alleys,Broken Asphalt,District 1,Streets / Roadways / Alleys-Broken Asphalt-District 1,141
Streets / Roadways / Alleys,Broken Asphalt,District 2,Streets / Roadways / Alleys-Broken Asphalt-District 2,95
Streets / Roadways / Alleys,Broken Asphalt,District 3,Streets / Roadways / Alleys-Broken Asphalt-District 3,222
Streets / Roadways / Alleys,Crack,Bridge,Streets / Roadways / Alleys-Crack-Bridge,10
Streets / Roadways / Alleys,Crack,District 1,Streets / Roadways / Alleys-Crack-District 1,76
Streets / Roadways / Alleys,Crack,District 2,Streets / Roadways / Alleys-Crack-District 2,22
Streets / Roadways / Alleys,Crack,District 3,Streets / Roadways / Alleys-Crack-District 3,53
Streets / Roadways / Alleys,Cut / Permit,District 1,Streets / Roadways / Alleys-Cut / Permit-District 1,302
Streets / Roadways / Alleys,Cut / Permit,District 2,Streets / Roadways / Alleys-Cut / Permit-District 2,674
Streets / Roadways / Alleys,Cut / Permit,District 3,Streets / Roadways / Alleys-Cut / Permit-District 3,611
Streets / Roadways / Alleys,Guardrail,Bridge,Streets / Roadways / Alleys-Guardrail-Bridge,25
Streets / Roadways / Alleys,Guardrail,District 1,Streets / Roadways / Alleys-Guardrail-District 1,20
Streets / Roadways / Alleys,Guardrail,District 2,Streets / Roadways / Alleys-Guardrail-District 2,24
Streets / Roadways / Alleys,Guardrail,District 3,Streets / Roadways / Alleys-Guardrail-District 3,39
Streets / Roadways / Alleys,Markings / Paint,Bike Lanes,Streets / Roadways / Alleys-Markings / Paint-Bike lanes,26
Streets / Roadways / Alleys,Markings / Paint,Crosswalk,Streets / Roadways / Alleys-Markings / Paint-Crosswalk,125
Streets / Roadways / Alleys,Markings / Paint,Lane Lines,Streets / Roadways / Alleys-Markings / Paint-Lane lines,215
Streets / Roadways / Alleys,Markings / Paint,New Marking Request,Streets / Roadways / Alleys-Markings / Paint-New Marking Request,129
Streets / Roadways / Alleys,Markings / Paint,Turn Lanes,Streets / Roadways / Alleys-Markings / Paint-Turn lanes,43
Streets / Roadways / Alleys,Obstructed / Closure,Detour,Streets / Roadways / Alleys-Obstructed / Closure-Detour,33
Streets / Roadways / Alleys,Obstructed / Closure,Event / Closure Request,Streets / Roadways / Alleys-Obstructed / Closure-Event / Closure Request,11
Streets / Roadways / Alleys,Obstructed / Closure,Lane Closed,Streets / Roadways / Alleys-Obstructed / Closure-Lane Closed,117
Streets / Roadways / Alleys,Obstructed / Closure,Road Closed,Streets / Roadways / Alleys-Obstructed / Closure-Road Closed,181
Streets / Roadways / Alleys,Other-Maintenance,District 1,Streets/Roadways/Alleys-Other Maintenance-District 1,476
Streets / Roadways / Alleys,Other-Maintenance,District 2,Streets/Roadways/Alleys-Other Maintenance-District 2,709
Streets / Roadways / Alleys,Other-Maintenance,District 3,Streets/Roadways/Alleys-Other Maintenance-District 3,898
Streets / Roadways / Alleys,Plate,Loose,Streets / Roadways / Alleys-Plate-Loose,158
Streets / Roadways / Alleys,Plate,Missing / Displaced,Streets / Roadways / Alleys-Plate-Missing / Displaced,296
Streets / Roadways / Alleys,Plate,Request,Streets / Roadways / Alleys-Plate-Request,76
Streets / Roadways / Alleys,Pothole,Bridge,Streets / Roadways / Alleys-Pothole-Bridge,56
Streets / Roadways / Alleys,Pothole,District 1,Streets / Roadways / Alleys-Pothole-District 1,5524
Streets / Roadways / Alleys,Pothole,District 2,Streets / Roadways / Alleys-Pothole-District 2,6435
Streets / Roadways / Alleys,Pothole,District 3,Streets / Roadways / Alleys-Pothole-District 3,16899
Streets / Roadways / Alleys,Resurfacing,District 1,Streets / Roadways / Alleys-Resurfacing-District 1,255
Streets / Roadways / Alleys,Resurfacing,District 2,Streets / Roadways / Alleys-Resurfacing-District 2,176
Streets / Roadways / Alleys,Resurfacing,District 3,Streets / Roadways / Alleys-Resurfacing-District 3,444
Streets / Roadways / Alleys,Resurfacing,Service Issue / Problem,Streets / Roadways / Alleys-Resurfacing-Service Issue / Problem,101
Streets / Roadways / Alleys,Sinkhole Referral,District 1,Streets / Roadways / Alleys-Sinkhole Referral-District 1,123
Streets / Roadways / Alleys,Sinkhole Referral,District 2,Streets / Roadways / Alleys-Sinkhole Referral-District 2,134
Streets / Roadways / Alleys,Sinkhole Referral,District 3,Streets / Roadways / Alleys-Sinkhole Referral-District 3,134
Streets / Roadways / Alleys,Snow / Ice,District 1,Streets / Roadways / Alleys-Snow / Ice-District 1,1489
Streets / Roadways / Alleys,Snow / Ice,District 2,Streets / Roadways / Alleys-Snow / Ice-District 2,971
Streets / Roadways / Alleys,Snow / Ice,District 3,Streets / Roadways / Alleys-Snow / Ice-District 3,1299
Streets / Roadways / Alleys,Snow / Ice,Feedback,Streets / Roadways / Alleys-Snow / Ice-Feedback,94
Streets / Roadways / Alleys,Snow / Ice,Snow Blocking Drive or Sidewalk,Street/Roadway/Alley-Snow / Ice-Snow Blocking Drive,48
Streets / Roadways / Alleys,Snow / Ice,Snow Route Verification,Streets/Roadways/Alleys-Snow / Ice-Snow Verify List,592
Streets / Roadways / Alleys,Speed Bump,Removal,Streets / Roadways / Alleys-Speed Bump-Removal,11
Streets / Roadways / Alleys,Speed Bump,Request New,Streets / Roadways / Alleys-Speed Bump-Request New,342
Streets / Roadways / Alleys,Street Clean Up,Bridge,Streets / Roadways / Alleys-Street Clean Up-Bridge,17
Streets / Roadways / Alleys,Street Clean Up,District 1,Streets / Roadways / Alleys-Street Clean Up-District 1,132
Streets / Roadways / Alleys,Street Clean Up,District 2,Streets / Roadways / Alleys-Street Clean Up-District 2,466
Streets / Roadways / Alleys,Street Clean Up,District 3,Streets / Roadways / Alleys-Street Clean Up-District 3,426
Streets / Roadways / Alleys,Street Clean Up,Sweeping Schedule,Streets / Roadways / Alleys-Street Clean Up-Sweeping Schedule,479
Streets / Roadways / Alleys,Street Services,Call Back Request,Streets / Roadways / Alleys-Street Services-Call Back Request,16
Streets / Roadways / Alleys,Street Services,Feedback,Streets / Roadways / Alleys-Street Services-Feedback,116
Streets / Roadways / Alleys,Street Services,Question,Streets / Roadways / Alleys-Street Services-Question,43
Streets / Roadways / Alleys,Street Services,Service Issue / Problem,Streets / Roadways / Alleys-Street Services-Service Issue / Problem,60
Streets / Roadways / Alleys,Street Services,Street Permit Research,Streets / Roadways / Alleys-Street Services-Street Permit Research,161
Streets / Roadways / Alleys,Street Services,Traffic Study Request,Streets / Roadways / Alleys-Street Services-Traffic Study Request,311
Trash / Recycling,Bulky Pick Up,Address Validation,Trash / Recycling-Bulky Pick Up -Address Validation,327
Trash / Recycling,Bulky Pick Up,Missed Pick Up,Trash / Recycling-Bulky Pick Up -Missed Pick Up,2047
Trash / Recycling,Dumping,Alley - Public Works - District 1,Trash / Recycling - Dumping - Alley - D1,1
Trash / Recycling,Dumping,Alley - Public Works - District 2,Trash / Recycling - Dumping - Alley - D2,333
Trash / Recycling,Dumping,Alley - Public Works - District 3,Trash / Recycling - Dumping - Alley - D3,30
Trash / Recycling,Dumping,Camera Request,Trash / Recycling-Dumping-Camera Request,202
Trash / Recycling,Dumping,Landlord Set Out,Trash / Recycling-Dumping-Landlord Set Out,2
Trash / Recycling,Dumping,Park - Central,Trash / Recycling-Dumping-Park - Central,108
Trash / Recycling,Dumping,Park - North,Trash / Recycling-Dumping-Park - North,27
Trash / Recycling,Dumping,Park - South,Trash / Recycling-Dumping-Park - South,49
Trash / Recycling,Dumping,Private Property,Trash / Recycling-Dumping-Private Property,648
Trash / Recycling,Dumping,Right of Way Central,Trash / Recycling-Dumping-ROW Central,1828
Trash / Recycling,Dumping,Right of Way LB Central,Trash / Recycling-Dumping-ROW Land Bank Central,352
Trash / Recycling,Dumping,Right of Way LB North,Trash / Recycling-Dumping-ROW Land Bank North,3
Trash / Recycling,Dumping,Right of Way LB South,Trash / Recycling-Dumping-ROW Land Bank South,51
Trash / Recycling,Dumping,Right of Way North,Trash / Recycling-Dumping-ROW North,300
Trash / Recycling,Dumping,Right of Way South,Trash / Recycling-Dumping-ROW South,621
Trash / Recycling,Dumping,Right-Of-Way,Trash / Recycling-Dumping-Right of Way,8
Trash / Recycling,Dumping,Solid Waste Referral,Trash / Recycling-Dumping-Solid Waste Referral,3590
Trash / Recycling,Dumpsters,Dumpster Request,Trash / Recycling-Dumpsters-Dumpster Request,7
Trash / Recycling,Dumpsters,Private Property,Property Violations,44
Trash / Recycling,Dumpsters,Street / Alley / ROW,Trash / Recycling-Dumpsters-Street / Alley / ROW,39
Trash / Recycling,Early Set Out,Central,Trash / Recycling-Early Set Out-Central,108
Trash / Recycling,Early Set Out,North,Trash / Recycling-Early Set Out-North,20
Trash / Recycling,Early Set Out,South,Trash / Recycling-Early Set Out-South,46
Trash / Recycling,Landlord Set Out,Central,Trash / Recycling-Landlord Set Out-Central,5
Trash / Recycling,Landlord Set Out,North,Trash / Recycling-Landlord Set Out-North,1
Trash / Recycling,Landlord Set Out,South,Trash / Recycling-Landlord Set Out-South,11
Trash / Recycling,Leaf / Brush,Dumping in Street,Trash / Recycling-Leaf / Brush-Dumping in Street,48
Trash / Recycling,Leaf / Brush,Friday - Central,Trash/Recycling - Leaf/Brush - Friday - Central,1007
Trash / Recycling,Leaf / Brush,Friday - North,Trash/Recycling - Leaf/Brush - Friday - North,275
Trash / Recycling,Leaf / Brush,Friday - North,Trash/Recycling - Leaf/Brush - Monday - Central,1
Trash / Recycling,Leaf / Brush,Friday - South,Trash/Recycling - Leaf/Brush - Friday - South,1441
Trash / Recycling,Leaf / Brush,Leaf/Brush Appointment Missed,Trash / Recycling-Leaf / Brush-Appointment Missed,2
Trash / Recycling,Leaf / Brush,Missed Pick Up,Trash / Recycling-Leaf / Brush-Missed Pick Up,2127
Trash / Recycling,Leaf / Brush,Missed Pick Up,Trash/Recycling - Leaf/Brush - Monday - North,1
Trash / Recycling,Leaf / Brush,Missed Pick Up,Trash/Recycling - Leaf/Brush - Thursday - North,2
Trash / Recycling,Leaf / Brush,Monday - Central,Trash / Recycling-Leaf / Brush-Missed Pick Up,6
Trash / Recycling,Leaf / Brush,Monday - Central,Trash / Recycling-Services-Service Issue / Problem,1
Trash / Recycling,Leaf / Brush,Monday - Central,Trash / Recycling-Trash Collection-Missed by City,1
Trash / Recycling,Leaf / Brush,Monday - Central,Trash/Recycling - Leaf/Brush - Monday - Central,375
Trash / Recycling,Leaf / Brush,Monday - Central,Trash/Recycling - Leaf/Brush - Monday - North,1
Trash / Recycling,Leaf / Brush,Monday - Central,Trash/Recycling - Leaf/Brush - Monday - South,1
Trash / Recycling,Leaf / Brush,Monday - Central,Trash/Recycling - Leaf/Brush - Tuesday - North,1
Trash / Recycling,Leaf / Brush,Monday - Central,"Web SR - Trash, Recycle, Bulky",1
Trash / Recycling,Leaf / Brush,Monday - North,Trash/Recycling - Leaf/Brush - Monday - North,108
Trash / Recycling,Leaf / Brush,Monday - South,Trash/Recycling - Leaf/Brush - Monday - South,787
Trash / Recycling,Leaf / Brush,Thursday - Central,Trash/Recycling - Leaf/Brush - Thursday - Central,126
Trash / Recycling,Leaf / Brush,Thursday - North,Trash/Recycling - Leaf/Brush - Thursday - North,93
Trash / Recycling,Leaf / Brush,Thursday - South,Trash/Recycling - Leaf/Brush - Thursday - South,1839
Trash / Recycling,Leaf / Brush,Tuesday - Central,Trash/Recycling - Leaf/Brush - Tuesday - Central,239
Trash / Recycling,Leaf / Brush,Tuesday - North,Trash/Recycling - Leaf/Brush - Tuesday - North,196
Trash / Recycling,Leaf / Brush,Tuesday - South,Trash/Recycling - Leaf/Brush - Tuesday - South,681
Trash / Recycling,Leaf / Brush,Wednesday - Central,Trash/Recycling - Leaf/Brush - Wednesday - Central,119
Trash / Recycling,Leaf / Brush,Wednesday - North,Trash/Recycling - Leaf/Brush - Wednesday - North,55
Trash / Recycling,Leaf / Brush,Wednesday - South,Trash/Recycling - Leaf/Brush - Wednesday - South,1898
Trash / Recycling,Nuisance,Early Set Out,Trash / Recycling-Nuisance-Early Set Out,10
Trash / Recycling,Nuisance,Land Bank,Trash / Recycling-Nuisance-Land Bank,348
Trash / Recycling,Nuisance,Open Storage,Property Violations,1219
Trash / Recycling,Nuisance,Trash on Private Property,Property Violations,7878
Trash / Recycling,Recycling,Missed by City,Trash / Recycling-Recycling-Missed by City,4560
Trash / Recycling,Recycling,Missed by Contractor North,Trash / Recycling-Recycling-Missed by Contractor North,10854
Trash / Recycling,Recycling,Missed by Contractor South,Trash / Recycling-Recycling-Missed by Contractor South,4763
Trash / Recycling,Recycling,Repeat Missed,Trash / Recycling-Recycling-Repeat Missed,19
Trash / Recycling,Services,Blue Bag Program,Trash / Recycling-Services-Blue Bag Program,218
Trash / Recycling,Services,Call Back Request,Trash / Recycling-Services-Call Back Request,584
Trash / Recycling,Services,Disability Pick Up,Trash / Recycling-Services-Disability Pick Up,381
Trash / Recycling,Services,Feedback,Trash / Recycling-Services-Feedback,953
Trash / Recycling,Services,Medical Tags,Trash / Recycling-Services-Medical Tags,44
Trash / Recycling,Services,Multi-Unit,Trash / Recycling-Services-Multi-Unit,64
Trash / Recycling,Services,Question,Trash / Recycling-Services-Question,304
Trash / Recycling,Services,Service Issue / Problem,Trash / Recycling-Services-Service Issue / Problem,4283
Trash / Recycling,Solid Waste Operations,Brush,Trash / Recycling-Solid Waste Operations-Brush,2
Trash / Recycling,Solid Waste Operations,Bulky,Trash / Recycling-Solid Waste Operations-Bulky,3
Trash / Recycling,Solid Waste Operations,Trash,Trash / Recycling-Solid Waste Operations-Trash,6
Trash / Recycling,Trash,Violation,Streets / Roadways / Alleys-Street Clean Up-District 2,1
Trash / Recycling,Trash,Violation,Trash / Recycling-Trash Collection-Missed by Contractor North,1
Trash / Recycling,Trash Collection,City Owned Trash Container,Trash / Recycling-Trash Collection-City Owned Trash Container,18
Trash / Recycling,Trash Collection,Missed City Trash and Recycling,Trash / Recycling-Dumping-Park - South,1
Trash / Recycling,Trash Collection,Missed City Trash and Recycling,Trash / Recycling-Trash Collection-Missed by City,1
Trash / Recycling,Trash Collection,Missed North Trash - Recycling,Trash / Recycling - Trash Collection - North Trash - Recycle,2
Trash / Recycling,Trash Collection,Missed North Trash - Recycling,Trash / Recycling-Recycling-Missed by Contractor North,1
Trash / Recycling,Trash Collection,Missed North Trash - Recycling,Trash / Recycling-Trash Collection-Missed by Contractor North,1
Trash / Recycling,Trash Collection,Missed North Trash - Recycling,"Web SR - Trash, Recycle, Bulky",1
Trash / Recycling,Trash Collection,Missed South Trash - Recycling,Trash / Recycling - Trash Collection - South Trash - Recycle,1
Trash / Recycling,Trash Collection,Missed by City,Trash / Recycling-Trash Collection-Missed by City,10642
Trash / Recycling,Trash Collection,Missed by Contractor North,Trash / Recycling-Trash Collection-Missed by Contractor North,11926
Trash / Recycling,Trash Collection,Missed by Contractor South,Trash / Recycling-Trash Collection-Missed by Contractor South,11824
Trash / Recycling,Trash Collection,Repeat Missed,Trash / Recycling-Trash Collection-Repeat Missed,6
Trash / Recycling,Trash Collection,Storm Trash,Trash/Recycling - Trash Collection - Storm Trash,4
Trees,Care,Disease,Trees-Care-Disease,59
Trees,Care,Insects,Trees-Care-Insects,58
Trees,Care,Sick,Trees-Care-Sick,31
Trees,Care,Vandalism,Trees-Care-Vandalism,10
Trees,Emerald Ash,Question / Feedback,Trees-Emerald Ash-Question / Feedback,54
Trees,Emerald Ash,Removal,Trees-Emerald Ash-Removal,69
Trees,Emerald Ash,Treatment,Trees-Emerald Ash-Treatment,25
Trees,Land Bank,Dead,Trees-Land Bank-Dead,19
Trees,Land Bank,Hazardous,Trees-Land Bank-Hazardous,149
Trees,Land Bank,Tree Debris,Trees-Land Bank-Tree Debris,114
